time,ths_code,alpha_1,alpha_2,alpha_3,alpha_4
2026-03-02T09:30:00.000000000,000059.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000060.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000061.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000062.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000063.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000065.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000066.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000068.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000069.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000070.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000078.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000088.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000089.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000090.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000096.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000099.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000100.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000151.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000153.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000155.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000156.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000157.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000158.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000159.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000166.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000301.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000333.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000338.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000400.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000401.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000402.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000403.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000404.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000407.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000408.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000409.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000410.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000411.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000415.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000417.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000419.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000420.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000421.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000422.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000423.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000425.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000426.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000428.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000429.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000430.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000488.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000498.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000501.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000503.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000504.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000505.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000506.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000507.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000509.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000510.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000513.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000514.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000516.SZ,2735.0,,,-1.0
